symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
nausea,shortness of breath,jaw pain,chest pain,dizziness,fatigue,left arm pain,,heart attack
fatigue,chest pain,shortness of breath,left arm pain,cold sweat,irregular heartbeat,dizziness,jaw pain,heart attack
tingling in feet,fatigue,weight loss,increased thirst,slow healing,frequent urination,blurred vision,hunger,diabetes
wheezing,trouble sleeping,coughing,fatigue,chest tightness,short breaths,rapid breathing,,asthma
fever,constipation,loss of appetite,body ache,headache,dry cough,vomiting,,typhoid
fatigue,memory problems,depression,slow heart rate,hair loss,dry skin,muscle weakness,,thyroid
left arm pain,irregular heartbeat,cold sweat,shortness of breath,chest pain,jaw pain,fatigue,nausea,heart attack
loss of appetite,fatigue,sweating,body pain,weakness,chills,high temperature,headache,fever
nausea,rapid heartbeat,fatigue,chills,muscle pain,headache,sweating,,malaria
loss of appetite,night sweats,lump,bleeding,weight loss,fatigue,weakness,,cancer
phlegm,rapid breathing,shortness of breath,cough,chest pain,fever,fatigue,chills,pneumonia
lump,loss of appetite,bleeding,skin changes,fatigue,pain,weakness,weight loss,cancer
fever,chills,sweating,nausea,fatigue,headache,vomiting,,malaria
rapid breathing,phlegm,cough,chills,chest pain,shortness of breath,fatigue,fever,pneumonia
sound sensitivity,nausea,fatigue,neck pain,headache,vision issues,sensitivity to light,vomiting,migraine
hunger,fatigue,slow healing,weight loss,blurred vision,increased thirst,tingling in feet,frequent urination,diabetes
nausea,chest pain,shortness of breath,fatigue,jaw pain,irregular heartbeat,dizziness,cold sweat,heart attack
phlegm,fatigue,shortness of breath,chills,fever,cough,rapid breathing,,pneumonia
fatigue,blurred vision,hunger,slow healing,frequent urination,weight loss,increased thirst,tingling in feet,diabetes
night sweats,weakness,bleeding,pain,skin changes,loss of appetite,fatigue,,cancer
breathlessness,trouble sleeping,chest tightness,short breaths,coughing,fatigue,wheezing,,asthma
fatigue,slow heart rate,weight gain,hair loss,dry skin,memory problems,muscle weakness,depression,thyroid
loss of appetite,fever,body ache,abdominal pain,constipation,dry cough,weakness,headache,typhoid
muscle pain,nausea,sweating,fatigue,headache,fever,rapid heartbeat,,malaria
sensitivity to light,fatigue,neck pain,vision issues,nausea,vomiting,sound sensitivity,,migraine
fatigue,depression,memory problems,dry skin,hair loss,slow heart rate,weight gain,muscle weakness,thyroid
muscle pain,sweating,nausea,rapid heartbeat,chills,headache,fever,,malaria
breathlessness,short breaths,fatigue,trouble sleeping,chest tightness,coughing,wheezing,rapid breathing,asthma
fever,headache,constipation,dry cough,loss of appetite,abdominal pain,body ache,,typhoid
lump,night sweats,weakness,bleeding,skin changes,loss of appetite,pain,,cancer
headache,loss of appetite,vomiting,body ache,weakness,constipation,dry cough,abdominal pain,typhoid
hunger,frequent urination,weight loss,blurred vision,tingling in feet,slow healing,increased thirst,,diabetes
high temperature,headache,chills,weakness,sweating,loss of appetite,body pain,fatigue,fever
tingling in feet,fatigue,weight loss,blurred vision,slow healing,hunger,increased thirst,,diabetes
chest pain,rapid breathing,phlegm,cough,fatigue,chills,shortness of breath,fever,pneumonia
tingling in feet,increased thirst,fatigue,slow healing,frequent urination,blurred vision,hunger,weight loss,diabetes
headache,sweating,high temperature,fatigue,loss of appetite,body pain,sore throat,weakness,fever
fever,constipation,body ache,abdominal pain,vomiting,weakness,loss of appetite,,typhoid
sensitivity to light,vision issues,nausea,fatigue,sound sensitivity,headache,neck pain,,migraine
pain,weight loss,lump,night sweats,bleeding,weakness,skin changes,,cancer
sensitivity to light,sound sensitivity,vision issues,vomiting,fatigue,nausea,neck pain,headache,migraine
fatigue,cold sweat,left arm pain,irregular heartbeat,shortness of breath,chest pain,nausea,,heart attack
fatigue,muscle pain,chills,fever,headache,nausea,sweating,,malaria
blurred vision,frequent urination,weight loss,fatigue,tingling in feet,slow healing,increased thirst,hunger,diabetes
high temperature,sore throat,headache,weakness,chills,loss of appetite,sweating,,fever
cold sweat,chest pain,fatigue,irregular heartbeat,nausea,left arm pain,jaw pain,,heart attack
phlegm,chills,fever,fatigue,rapid breathing,shortness of breath,cough,,pneumonia
chills,fatigue,phlegm,rapid breathing,chest pain,cough,fever,,pneumonia
jaw pain,chest pain,dizziness,nausea,cold sweat,left arm pain,irregular heartbeat,shortness of breath,heart attack
fatigue,chest pain,left arm pain,dizziness,cold sweat,shortness of breath,irregular heartbeat,,heart attack
headache,weakness,high temperature,body pain,chills,fatigue,sore throat,,fever
vomiting,nausea,headache,neck pain,vision issues,sound sensitivity,sensitivity to light,,migraine
left arm pain,jaw pain,irregular heartbeat,shortness of breath,cold sweat,dizziness,nausea,fatigue,heart attack
breathlessness,rapid breathing,coughing,short breaths,wheezing,chest tightness,trouble sleeping,,asthma
vomiting,nausea,neck pain,sound sensitivity,sensitivity to light,vision issues,fatigue,headache,migraine
neck pain,headache,sound sensitivity,nausea,vision issues,vomiting,fatigue,,migraine
constipation,dry cough,fever,body ache,headache,loss of appetite,weakness,vomiting,typhoid
weight loss,fatigue,slow healing,blurred vision,frequent urination,increased thirst,tingling in feet,hunger,diabetes
muscle weakness,hair loss,slow heart rate,depression,memory problems,dry skin,fatigue,,thyroid
dizziness,fatigue,jaw pain,shortness of breath,chest pain,left arm pain,cold sweat,,heart attack
dry cough,headache,fever,loss of appetite,constipation,body ache,vomiting,abdominal pain,typhoid
shortness of breath,left arm pain,irregular heartbeat,jaw pain,chest pain,dizziness,nausea,,heart attack
short breaths,rapid breathing,fatigue,breathlessness,wheezing,trouble sleeping,coughing,,asthma
fatigue,vomiting,nausea,neck pain,headache,sound sensitivity,vision issues,sensitivity to light,migraine
vomiting,rapid heartbeat,fever,sweating,muscle pain,fatigue,chills,,malaria
irregular heartbeat,chest pain,nausea,shortness of breath,jaw pain,cold sweat,fatigue,,heart attack
vomiting,nausea,sensitivity to light,headache,neck pain,fatigue,vision issues,,migraine
fatigue,body pain,weakness,high temperature,sore throat,chills,headache,sweating,fever
weakness,loss of appetite,body ache,abdominal pain,dry cough,vomiting,constipation,fever,typhoid
vomiting,fatigue,sensitivity to light,vision issues,nausea,headache,sound sensitivity,neck pain,migraine
fatigue,slow heart rate,memory problems,muscle weakness,dry skin,depression,hair loss,weight gain,thyroid
fatigue,weakness,sweating,sore throat,loss of appetite,body pain,headache,,fever
nausea,fever,headache,muscle pain,sweating,vomiting,rapid heartbeat,fatigue,malaria
chills,cough,phlegm,chest pain,rapid breathing,fever,fatigue,,pneumonia
sound sensitivity,vision issues,fatigue,headache,nausea,sensitivity to light,neck pain,,migraine
loss of appetite,fatigue,bleeding,lump,weakness,weight loss,skin changes,night sweats,cancer
fatigue,nausea,jaw pain,shortness of breath,irregular heartbeat,chest pain,dizziness,cold sweat,heart attack
sensitivity to light,fatigue,vomiting,headache,sound sensitivity,neck pain,nausea,,migraine
frequent urination,weight loss,blurred vision,hunger,fatigue,slow healing,increased thirst,tingling in feet,diabetes
headache,vomiting,neck pain,fatigue,sound sensitivity,nausea,vision issues,,migraine
sweating,chills,fever,vomiting,headache,fatigue,muscle pain,rapid heartbeat,malaria
cold sweat,nausea,jaw pain,dizziness,irregular heartbeat,fatigue,shortness of breath,,heart attack
memory problems,fatigue,slow heart rate,muscle weakness,hair loss,dry skin,depression,,thyroid
nausea,shortness of breath,irregular heartbeat,dizziness,cold sweat,chest pain,left arm pain,,heart attack
shortness of breath,irregular heartbeat,chest pain,jaw pain,dizziness,nausea,left arm pain,,heart attack
chills,fever,nausea,sweating,fatigue,muscle pain,rapid heartbeat,headache,malaria
blurred vision,frequent urination,increased thirst,hunger,weight loss,slow healing,tingling in feet,,diabetes
sore throat,sweating,body pain,loss of appetite,fatigue,weakness,chills,headache,fever
pain,bleeding,night sweats,skin changes,fatigue,weight loss,weakness,,cancer
body ache,constipation,dry cough,weakness,abdominal pain,headache,fever,loss of appetite,typhoid
nausea,fatigue,vomiting,headache,sound sensitivity,neck pain,sensitivity to light,,migraine
neck pain,vomiting,sensitivity to light,vision issues,nausea,headache,sound sensitivity,fatigue,migraine
phlegm,shortness of breath,rapid breathing,fatigue,fever,cough,chills,chest pain,pneumonia
rapid breathing,fatigue,phlegm,fever,cough,shortness of breath,chest pain,,pneumonia
weakness,headache,fatigue,chills,loss of appetite,high temperature,body pain,,fever
jaw pain,nausea,irregular heartbeat,shortness of breath,left arm pain,dizziness,fatigue,chest pain,heart attack
rapid breathing,breathlessness,fatigue,coughing,chest tightness,wheezing,short breaths,trouble sleeping,asthma
night sweats,pain,fatigue,lump,loss of appetite,skin changes,weight loss,weakness,cancer
hunger,weight loss,fatigue,blurred vision,increased thirst,slow healing,tingling in feet,frequent urination,diabetes
sweating,fatigue,nausea,fever,rapid heartbeat,vomiting,muscle pain,chills,malaria
muscle weakness,memory problems,dry skin,slow heart rate,weight gain,depression,hair loss,fatigue,thyroid
nausea,vision issues,sound sensitivity,fatigue,neck pain,sensitivity to light,vomiting,headache,migraine
abdominal pain,loss of appetite,constipation,fever,headache,dry cough,vomiting,weakness,typhoid
headache,chills,loss of appetite,high temperature,sore throat,sweating,body pain,,fever
jaw pain,nausea,dizziness,left arm pain,cold sweat,irregular heartbeat,fatigue,,heart attack
fever,rapid heartbeat,muscle pain,chills,nausea,fatigue,headache,,malaria
fatigue,shortness of breath,irregular heartbeat,jaw pain,cold sweat,chest pain,dizziness,nausea,heart attack
nausea,vomiting,rapid heartbeat,sweating,fever,fatigue,chills,headache,malaria
blurred vision,hunger,tingling in feet,frequent urination,increased thirst,slow healing,weight loss,,diabetes
chest tightness,trouble sleeping,fatigue,breathlessness,short breaths,wheezing,rapid breathing,,asthma
jaw pain,left arm pain,fatigue,irregular heartbeat,chest pain,shortness of breath,dizziness,,heart attack
fever,phlegm,shortness of breath,rapid breathing,chills,fatigue,chest pain,,pneumonia
frequent urination,increased thirst,tingling in feet,slow healing,fatigue,blurred vision,weight loss,hunger,diabetes
fatigue,breathlessness,coughing,trouble sleeping,wheezing,short breaths,rapid breathing,chest tightness,asthma
skin changes,pain,lump,loss of appetite,fatigue,weakness,bleeding,weight loss,cancer
weight loss,frequent urination,tingling in feet,slow healing,blurred vision,fatigue,hunger,,diabetes
slow healing,tingling in feet,blurred vision,weight loss,frequent urination,increased thirst,fatigue,,diabetes
bleeding,night sweats,fatigue,skin changes,lump,loss of appetite,weight loss,pain,cancer
dry cough,fever,weakness,constipation,body ache,loss of appetite,headache,vomiting,typhoid
fatigue,loss of appetite,weakness,chills,sore throat,high temperature,headache,sweating,fever
fatigue,chills,phlegm,fever,rapid breathing,shortness of breath,chest pain,,pneumonia
neck pain,vomiting,sound sensitivity,vision issues,fatigue,headache,sensitivity to light,,migraine
cold sweat,dizziness,shortness of breath,jaw pain,nausea,left arm pain,chest pain,,heart attack
fatigue,blurred vision,weight loss,increased thirst,slow healing,tingling in feet,hunger,frequent urination,diabetes
memory problems,muscle weakness,depression,dry skin,fatigue,weight gain,hair loss,,thyroid
high temperature,chills,fatigue,headache,weakness,loss of appetite,sweating,sore throat,fever
fatigue,wheezing,trouble sleeping,short breaths,coughing,rapid breathing,chest tightness,breathlessness,asthma
breathlessness,short breaths,trouble sleeping,rapid breathing,coughing,chest tightness,wheezing,,asthma
headache,sensitivity to light,nausea,vomiting,sound sensitivity,vision issues,neck pain,,migraine
memory problems,depression,hair loss,dry skin,weight gain,fatigue,slow heart rate,muscle weakness,thyroid
fever,loss of appetite,weakness,constipation,abdominal pain,vomiting,headache,,typhoid
fatigue,chills,rapid heartbeat,sweating,muscle pain,nausea,vomiting,,malaria
headache,vision issues,fatigue,sound sensitivity,neck pain,nausea,sensitivity to light,,migraine
headache,fatigue,sound sensitivity,neck pain,vomiting,nausea,vision issues,,migraine
trouble sleeping,fatigue,coughing,breathlessness,wheezing,chest tightness,short breaths,rapid breathing,asthma
fatigue,neck pain,sensitivity to light,headache,vomiting,nausea,vision issues,sound sensitivity,migraine
increased thirst,slow healing,fatigue,tingling in feet,frequent urination,blurred vision,hunger,weight loss,diabetes
abdominal pain,dry cough,loss of appetite,headache,constipation,fever,weakness,body ache,typhoid
slow healing,blurred vision,frequent urination,fatigue,tingling in feet,increased thirst,hunger,weight loss,diabetes
memory problems,weight gain,slow heart rate,hair loss,fatigue,dry skin,muscle weakness,,thyroid
nausea,fever,fatigue,rapid heartbeat,sweating,chills,headache,muscle pain,malaria
fatigue,tingling in feet,weight loss,hunger,slow healing,increased thirst,blurred vision,frequent urination,diabetes
chills,loss of appetite,weakness,sweating,body pain,sore throat,headache,high temperature,fever
loss of appetite,body ache,weakness,fever,vomiting,constipation,headache,abdominal pain,typhoid
short breaths,fatigue,chest tightness,breathlessness,coughing,wheezing,rapid breathing,trouble sleeping,asthma
fatigue,dry skin,memory problems,muscle weakness,weight gain,hair loss,depression,slow heart rate,thyroid
chest tightness,coughing,trouble sleeping,wheezing,short breaths,fatigue,rapid breathing,breathlessness,asthma
